date,site,parameter,index_value,description,health_advisory,health_effects
1/3/2016,Lawrenceville 2,SO2,2,Good,,
1/3/2016,North Braddock,PM10B,16,Good,,
1/3/2016,Lawrenceville,PM25B,35,Good,,
1/3/2016,Lincoln,PM10,20,Good,,
1/3/2016,Liberty 2,PM25(2),33,Good,,
1/3/2016,South Fayette,SO2,3,Good,,
1/3/2016,Flag Plaza,CO,0,Good,,
1/3/2016,Liberty,SO2,20,Good,,
1/3/2016,Harrison Township,NO2,7,Good,,
1/3/2016,Harrison Township,OZONE,26,Good,,
1/3/2016,Lincoln,PM25,38,Good,,
1/3/2016,Avalon,SO2,40,Good,,
1/3/2016,North Braddock,SO2,7,Good,,
1/3/2016,Lawrenceville,OZONE,28,Good,,
1/3/2016,Glassport High Street,PM10,6,Good,,
1/3/2016,Parkway East,PM25T,38,Good,,
1/3/2016,Lawrenceville 2,CO,3,Good,,
1/3/2016,Liberty 2,PM10,10,Good,,
1/4/2016,Flag Plaza,CO,0,Good,,
1/4/2016,North Braddock,PM10B,11,Good,,
1/4/2016,Lawrenceville,PM25B,20,Good,,
1/4/2016,Harrison Township,NO2,4,Good,,
1/4/2016,Harrison Township,OZONE,31,Good,,
1/4/2016,Flag Plaza,PM10,12,Good,,
1/4/2016,Lincoln,PM25,15,Good,,
1/4/2016,North Braddock,SO2,1,Good,,
1/4/2016,Liberty 2,PM25(2),22,Good,,
1/4/2016,Lawrenceville 2,SO2,1,Good,,
1/4/2016,South Fayette,SO2,4,Good,,
1/4/2016,Parkway East,CO,5,Good,,
1/4/2016,Glassport High Street,PM10,6,Good,,
1/4/2016,Avalon,SO2,1,Good,,
1/4/2016,Liberty,SO2,0,Good,,
1/4/2016,Lawrenceville 2,CO,2,Good,,
1/4/2016,Lawrenceville,OZONE,29,Good,,
1/4/2016,Liberty 2,PM10,6,Good,,
1/4/2016,Parkway East,PM25T,18,Good,,
1/4/2016,Parkway East,NO2,15,Good,,
1/4/2016,Lincoln,PM10,12,Good,,
1/5/2016,Flag Plaza,CO,0,Good,,
1/5/2016,Harrison Township,OZONE,18,Good,,
1/5/2016,Lawrenceville,PM25B,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/5/2016,Avalon,SO2,21,Good,,
1/5/2016,Liberty,SO2,21,Good,,
1/5/2016,Harrison Township,NO2,28,Good,,
1/5/2016,Lincoln,PM25,49,Good,,
1/5/2016,North Braddock,SO2,20,Good,,
1/5/2016,North Braddock,PM10B,24,Good,,
1/5/2016,Lincoln,PM10,19,Good,,
1/5/2016,Liberty 2,PM25(2),44,Good,,
1/5/2016,Lawrenceville 2,SO2,27,Good,,
1/5/2016,South Fayette,SO2,11,Good,,
1/5/2016,Parkway East,CO,7,Good,,
1/5/2016,Glassport High Street,PM10,9,Good,,
1/5/2016,Parkway East,NO2,27,Good,,
1/5/2016,Lawrenceville 2,CO,7,Good,,
1/5/2016,Lawrenceville,OZONE,17,Good,,
1/5/2016,Liberty 2,PM10,11,Good,,
1/5/2016,Parkway East,PM25T,46,Good,,
1/5/2016,Flag Plaza,PM10,20,Good,,
1/6/2016,Flag Plaza,CO,0,Good,,
1/6/2016,Glassport High Street,PM10,46,Good,,
1/6/2016,Lincoln,PM25,139,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
1/6/2016,Liberty 2,PM25(2),118,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
1/6/2016,Parkway East,NO2,29,Good,,
1/6/2016,Lincoln,PM10,70,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/6/2016,Liberty 2,PM10,49,Good,,
1/6/2016,Parkway East,CO,8,Good,,
1/6/2016,Harrison Township,OZONE,13,Good,,
1/6/2016,Lawrenceville,OZONE,9,Good,,
1/6/2016,Lawrenceville,PM25B,71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/6/2016,Avalon,SO2,6,Good,,
1/6/2016,Liberty,SO2,36,Good,,
1/6/2016,Lawrenceville 2,CO,11,Good,,
1/6/2016,North Braddock,SO2,21,Good,,
1/6/2016,Harrison Township,NO2,34,Good,,
1/6/2016,Flag Plaza,PM10,42,Good,,
1/6/2016,North Braddock,PM10B,40,Good,,
1/6/2016,Parkway East,PM25T,61,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/6/2016,Lawrenceville 2,SO2,10,Good,,
1/6/2016,South Fayette,SO2,10,Good,,
1/7/2016,Parkway East,CO,19,Good,,
1/7/2016,Lawrenceville,OZONE,3,Good,,
1/7/2016,Glassport High Street,PM10,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2016,Parkway East,NO2,40,Good,,
1/7/2016,Flag Plaza,PM10,50,Good,,
1/7/2016,Liberty 2,PM25(2),77,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2016,Lincoln,PM25,118,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
1/7/2016,Parkway East,PM25T,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2016,Liberty 2,PM10,49,Good,,
1/7/2016,North Braddock,PM10B,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2016,Lawrenceville 2,SO2,9,Good,,
1/7/2016,Flag Plaza,CO,0,Good,,
1/7/2016,Harrison Township,OZONE,14,Good,,
1/7/2016,Lawrenceville,PM25B,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2016,Avalon,SO2,4,Good,,
1/7/2016,North Braddock,SO2,37,Good,,
1/7/2016,Harrison Township,NO2,35,Good,,
1/7/2016,Liberty,SO2,31,Good,,
1/7/2016,South Fayette,SO2,9,Good,,
1/7/2016,Lawrenceville 2,CO,10,Good,,
1/7/2016,Lincoln,PM10,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2016,Harrison Township,NO2,24,Good,,
1/8/2016,Parkway East,NO2,33,Good,,
1/8/2016,North Braddock,SO2,11,Good,,
1/8/2016,Flag Plaza,CO,0,Good,,
1/8/2016,Parkway East,PM25T,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2016,Lawrenceville 2,SO2,5,Good,,
1/8/2016,Flag Plaza,PM10,50,Good,,
1/8/2016,Glassport High Street,PM10,32,Good,,
1/8/2016,Lincoln,PM25,89,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2016,South Fayette,SO2,11,Good,,
1/8/2016,Liberty 2,PM25(2),69,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2016,Lawrenceville 2,CO,10,Good,,
1/8/2016,Harrison Township,OZONE,9,Good,,
1/8/2016,Lawrenceville,OZONE,0,Good,,
1/8/2016,Liberty 2,PM10,35,Good,,
1/8/2016,Parkway East,CO,10,Good,,
1/8/2016,North Braddock,PM10B,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2016,Lawrenceville,PM25B,74,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2016,Avalon,SO2,4,Good,,
1/8/2016,Liberty,SO2,13,Good,,
1/8/2016,Lincoln,PM10,65,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/9/2016,Harrison Township,NO2,25,Good,,
1/9/2016,Lincoln,PM25,36,Good,,
1/9/2016,Parkway East,PM25T,34,Good,,
1/9/2016,North Braddock,SO2,7,Good,,
1/9/2016,Liberty,SO2,26,Good,,
1/9/2016,South Fayette,SO2,0,Good,,
1/9/2016,Flag Plaza,CO,0,Good,,
1/9/2016,Lawrenceville 2,SO2,3,Good,,
1/9/2016,North Braddock,PM10B,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/9/2016,Lawrenceville,PM25B,44,Good,,
1/9/2016,Lawrenceville 2,CO,9,Good,,
1/9/2016,Parkway East,NO2,25,Good,,
1/9/2016,Lawrenceville,OZONE,18,Good,,
1/9/2016,Liberty 2,PM10,25,Good,,
1/9/2016,Glassport High Street,PM10,36,Good,,
1/9/2016,Lincoln,PM10,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/9/2016,Parkway East,CO,7,Good,,
1/9/2016,Harrison Township,OZONE,22,Good,,
1/9/2016,Flag Plaza,PM10,36,Good,,
1/9/2016,Avalon,SO2,1,Good,,
1/9/2016,Liberty 2,PM25(2),53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/10/2016,Harrison Township,NO2,10,Good,,
1/10/2016,Parkway East,NO2,9,Good,,
1/10/2016,North Braddock,SO2,3,Good,,
1/10/2016,Flag Plaza,CO,0,Good,,
1/10/2016,Liberty 2,PM25(2),16,Good,,
1/10/2016,Lawrenceville 2,SO2,1,Good,,
1/10/2016,Lawrenceville,PM25B,16,Good,,
1/10/2016,Parkway East,PM25T,6,Good,,
1/10/2016,Liberty,SO2,6,Good,,
1/10/2016,Lawrenceville 2,CO,3,Good,,
1/10/2016,Liberty 2,PM10,11,Good,,
1/10/2016,Lincoln,PM10,10,Good,,
1/10/2016,Lincoln,PM25,21,Good,,
1/10/2016,Parkway East,CO,3,Good,,
1/10/2016,Harrison Township,OZONE,28,Good,,
1/10/2016,Flag Plaza,PM10,6,Good,,
1/10/2016,Avalon,SO2,0,Good,,
1/10/2016,Lawrenceville,OZONE,25,Good,,
1/10/2016,Glassport High Street,PM10,17,Good,,
1/10/2016,North Braddock,PM10B,23,Good,,
1/10/2016,South Fayette,SO2,0,Good,,
1/11/2016,Lawrenceville,OZONE,24,Good,,
1/11/2016,Glassport High Street,PM10,6,Good,,
1/11/2016,Lawrenceville,PM25B,35,Good,,
1/11/2016,Lawrenceville 2,CO,2,Good,,
1/11/2016,Parkway East,NO2,16,Good,,
1/11/2016,Liberty 2,PM10,6,Good,,
1/11/2016,Lincoln,PM10,15,Good,,
1/11/2016,Flag Plaza,CO,0,Good,,
1/11/2016,Lawrenceville 2,SO2,3,Good,,
1/11/2016,North Braddock,PM10B,12,Good,,
1/11/2016,Parkway East,PM25T,31,Good,,
1/11/2016,Liberty,SO2,9,Good,,
1/11/2016,Harrison Township,NO2,15,Good,,
1/11/2016,Liberty 2,PM25(2),27,Good,,
1/11/2016,North Braddock,SO2,6,Good,,
1/11/2016,South Fayette,SO2,3,Good,,
1/11/2016,Parkway East,CO,3,Good,,
1/11/2016,Harrison Township,OZONE,27,Good,,
1/11/2016,Flag Plaza,PM10,11,Good,,
1/11/2016,Lincoln,PM25,38,Good,,
1/11/2016,Avalon,SO2,4,Good,,
1/12/2016,Harrison Township,NO2,18,Good,,
1/12/2016,Parkway East,NO2,15,Good,,
1/12/2016,North Braddock,SO2,19,Good,,
1/12/2016,Liberty 2,PM25(2),43,Good,,
1/12/2016,Lawrenceville 2,SO2,2,Good,,
1/12/2016,Glassport High Street,PM10,6,Good,,
1/12/2016,Lawrenceville 2,CO,2,Good,,
1/12/2016,Lawrenceville,OZONE,27,Good,,
1/12/2016,North Braddock,PM10B,15,Good,,
1/12/2016,Parkway East,CO,4,Good,,
1/12/2016,Flag Plaza,PM10,11,Good,,
1/12/2016,Lincoln,PM25,36,Good,,
1/12/2016,Liberty 2,PM10,9,Good,,
1/12/2016,Lincoln,PM10,15,Good,,
1/12/2016,South Fayette,SO2,0,Good,,
1/12/2016,Flag Plaza,CO,0,Good,,
1/12/2016,Avalon,SO2,1,Good,,
1/12/2016,Liberty,SO2,13,Good,,
1/12/2016,Lawrenceville,PM25B,36,Good,,
1/12/2016,Parkway East,PM25T,36,Good,,
1/13/2016,North Braddock,PM10B,21,Good,,
1/13/2016,Liberty 2,PM25(2),32,Good,,
1/13/2016,Parkway East,PM25T,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/13/2016,Lawrenceville 2,SO2,9,Good,,
1/13/2016,South Fayette,SO2,6,Good,,
1/13/2016,Flag Plaza,CO,0,Good,,
1/13/2016,Glassport High Street,PM10,10,Good,,
1/13/2016,Liberty,SO2,9,Good,,
1/13/2016,Harrison Township,NO2,20,Good,,
1/13/2016,Parkway East,NO2,19,Good,,
1/13/2016,North Braddock,SO2,7,Good,,
1/13/2016,Lawrenceville 2,CO,3,Good,,
1/13/2016,Lawrenceville,OZONE,22,Good,,
1/13/2016,Liberty 2,PM10,10,Good,,
1/13/2016,Lincoln,PM10,19,Good,,
1/13/2016,Parkway East,CO,3,Good,,
1/13/2016,Lawrenceville,PM25B,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/13/2016,Avalon,SO2,11,Good,,
1/13/2016,Flag Plaza,PM10,13,Good,,
1/13/2016,Lincoln,PM25,46,Good,,
1/14/2016,Harrison Township,NO2,44,Good,,
1/14/2016,Parkway East,NO2,32,Good,,
1/14/2016,North Braddock,SO2,30,Good,,
1/14/2016,Lincoln,PM25,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/14/2016,Parkway East,PM25T,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/14/2016,Lawrenceville 2,SO2,5,Good,,
1/14/2016,Flag Plaza,CO,0,Good,,
1/14/2016,Lawrenceville,PM25B,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/14/2016,Avalon,SO2,4,Good,,
1/14/2016,Liberty,SO2,50,Good,,
1/14/2016,Lincoln,PM10,25,Good,,
1/14/2016,Liberty 2,PM25(2),63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/14/2016,Flag Plaza,PM10,14,Good,,
1/14/2016,North Braddock,PM10B,34,Good,,
1/14/2016,South Fayette,SO2,4,Good,,
1/14/2016,Parkway East,CO,8,Good,,
1/14/2016,Lawrenceville,OZONE,19,Good,,
1/14/2016,Glassport High Street,PM10,10,Good,,
1/14/2016,Lawrenceville 2,CO,6,Good,,
1/14/2016,Liberty 2,PM10,23,Good,,
1/15/2016,Lawrenceville 2,CO,8,Good,,
1/15/2016,Liberty 2,PM10,39,Good,,
1/15/2016,Flag Plaza,CO,0,Good,,
1/15/2016,Lawrenceville,OZONE,19,Good,,
1/15/2016,Glassport High Street,PM10,23,Good,,
1/15/2016,Liberty,SO2,51,Moderate,,
1/15/2016,Harrison Township,NO2,42,Good,,
1/15/2016,Parkway East,NO2,32,Good,,
1/15/2016,North Braddock,SO2,57,Moderate,,
1/15/2016,Flag Plaza,PM10,23,Good,,
1/15/2016,North Braddock,PM10B,47,Good,,
1/15/2016,Lincoln,PM25,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/15/2016,Parkway East,PM25T,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/15/2016,Lawrenceville 2,SO2,4,Good,,
1/15/2016,Parkway East,CO,10,Good,,
1/15/2016,Lawrenceville,PM25B,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/15/2016,Avalon,SO2,4,Good,,
1/15/2016,Lincoln,PM10,28,Good,,
1/15/2016,Liberty 2,PM25(2),71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/15/2016,South Fayette,SO2,1,Good,,
1/16/2016,Glassport High Street,PM10,20,Good,,
1/16/2016,Liberty,SO2,1,Good,,
1/16/2016,Lawrenceville 2,SO2,1,Good,,
1/16/2016,Liberty 2,PM10,25,Good,,
1/16/2016,Lawrenceville 2,CO,3,Good,,
1/16/2016,Parkway East,CO,6,Good,,
1/16/2016,Parkway East,NO2,16,Good,,
1/16/2016,Lawrenceville,OZONE,27,Good,,
1/16/2016,Lincoln,PM10,19,Good,,
1/16/2016,South Fayette,SO2,0,Good,,
1/16/2016,Flag Plaza,PM10,20,Good,,
1/16/2016,North Braddock,PM10B,36,Good,,
1/16/2016,Lawrenceville,PM25B,40,Good,,
1/16/2016,Flag Plaza,CO,0,Good,,
1/16/2016,Liberty 2,PM25(2),28,Good,,
1/16/2016,Avalon,SO2,0,Good,,
1/16/2016,Harrison Township,NO2,13,Good,,
1/16/2016,Lincoln,PM25,38,Good,,
1/16/2016,Parkway East,PM25T,34,Good,,
1/16/2016,North Braddock,SO2,1,Good,,
1/17/2016,Flag Plaza,PM10,6,Good,,
1/17/2016,North Braddock,PM10B,11,Good,,
1/17/2016,Parkway East,CO,5,Good,,
1/17/2016,Liberty 2,PM25(2),25,Good,,
1/17/2016,Lawrenceville 2,SO2,2,Good,,
1/17/2016,Lawrenceville 2,CO,2,Good,,
1/17/2016,Harrison Township,NO2,6,Good,,
1/17/2016,Parkway East,NO2,11,Good,,
1/17/2016,Lawrenceville,OZONE,27,Good,,
1/17/2016,Liberty 2,PM10,5,Good,,
1/17/2016,Parkway East,PM25T,31,Good,,
1/17/2016,North Braddock,SO2,1,Good,,
1/17/2016,Glassport High Street,PM10,5,Good,,
1/17/2016,Liberty,SO2,1,Good,,
1/17/2016,Lawrenceville,PM25B,35,Good,,
1/17/2016,Flag Plaza,CO,0,Good,,
1/17/2016,Avalon,SO2,1,Good,,
1/17/2016,Lincoln,PM25,29,Good,,
1/17/2016,Lincoln,PM10,10,Good,,
1/17/2016,South Fayette,SO2,6,Good,,
1/18/2016,Glassport High Street,PM10,6,Good,,
1/18/2016,Parkway East,PM25T,35,Good,,
1/18/2016,Liberty,SO2,1,Good,,
1/18/2016,Flag Plaza,CO,0,Good,,
1/18/2016,Flag Plaza,PM10,17,Good,,
1/18/2016,Liberty 2,PM25(2),25,Good,,
1/18/2016,Avalon,SO2,1,Good,,
1/18/2016,Lawrenceville 2,SO2,1,Good,,
1/18/2016,Harrison Township,NO2,6,Good,,
1/18/2016,Lincoln,PM25,41,Good,,
1/18/2016,North Braddock,SO2,1,Good,,
1/18/2016,North Braddock,PM10B,14,Good,,
1/18/2016,South Fayette,SO2,1,Good,,
1/18/2016,Lawrenceville,PM25B,38,Good,,
1/18/2016,Parkway East,CO,5,Good,,
1/18/2016,Lawrenceville 2,CO,3,Good,,
1/18/2016,Parkway East,NO2,12,Good,,
1/18/2016,Lawrenceville,OZONE,24,Good,,
1/18/2016,Liberty 2,PM10,7,Good,,
1/18/2016,Lincoln,PM10,14,Good,,
1/19/2016,Flag Plaza,CO,0,Good,,
1/19/2016,Lincoln,PM25,45,Good,,
1/19/2016,Avalon,SO2,4,Good,,
1/19/2016,Lawrenceville 2,CO,3,Good,,
1/19/2016,Harrison Township,NO2,26,Good,,
1/19/2016,Parkway East,NO2,27,Good,,
1/19/2016,Liberty 2,PM10,10,Good,,
1/19/2016,North Braddock,SO2,3,Good,,
1/19/2016,Lawrenceville,OZONE,20,Good,,
1/19/2016,Glassport High Street,PM10,8,Good,,
1/19/2016,Parkway East,PM25T,48,Good,,
1/19/2016,Liberty,SO2,3,Good,,
1/19/2016,Parkway East,CO,8,Good,,
1/19/2016,Flag Plaza,PM10,18,Good,,
1/19/2016,Lawrenceville 2,SO2,4,Good,,
1/19/2016,North Braddock,PM10B,22,Good,,
1/19/2016,Lawrenceville,PM25B,43,Good,,
1/19/2016,South Fayette,SO2,3,Good,,
1/19/2016,Lincoln,PM10,17,Good,,
1/19/2016,Liberty 2,PM25(2),32,Good,,
1/20/2016,Lawrenceville,PM25B,66,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/20/2016,Avalon,SO2,6,Good,,
1/20/2016,Liberty,SO2,10,Good,,
1/20/2016,Lawrenceville 2,CO,7,Good,,
1/20/2016,Lawrenceville,OZONE,7,Good,,
1/20/2016,Glassport High Street,PM10,14,Good,,
1/20/2016,Parkway East,CO,8,Good,,
1/20/2016,Parkway East,NO2,29,Good,,
1/20/2016,Liberty 2,PM10,16,Good,,
1/20/2016,Lincoln,PM10,18,Good,,
1/20/2016,North Braddock,PM10B,31,Good,,
1/20/2016,Flag Plaza,CO,0,Good,,
1/20/2016,Liberty 2,PM25(2),51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/20/2016,Harrison Township,NO2,27,Good,,
1/20/2016,Flag Plaza,PM10,23,Good,,
1/20/2016,Lincoln,PM25,44,Good,,
1/20/2016,Lawrenceville 2,SO2,13,Good,,
1/20/2016,North Braddock,SO2,3,Good,,
1/20/2016,Parkway East,PM25T,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/20/2016,South Fayette,SO2,7,Good,,
1/21/2016,Parkway East,CO,9,Good,,
1/21/2016,Glassport High Street,PM10,14,Good,,
1/21/2016,Parkway East,NO2,29,Good,,
1/21/2016,Flag Plaza,PM10,21,Good,,
1/21/2016,Lincoln,PM25,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/21/2016,Lawrenceville 2,CO,4,Good,,
1/21/2016,Lawrenceville,OZONE,19,Good,,
1/21/2016,Liberty 2,PM10,14,Good,,
1/21/2016,Flag Plaza,CO,0,Good,,
1/21/2016,Lawrenceville,PM25B,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/21/2016,Avalon,SO2,4,Good,,
1/21/2016,Liberty,SO2,4,Good,,
